DATE,MSPUS
1987-01-01,97900
1987-04-01,103400
1987-07-01,106000
1987-10-01,111500
1988-01-01,110000
1988-04-01,110000
1988-07-01,115000
1988-10-01,113900
1989-01-01,118000
1989-04-01,118900
1989-07-01,120000
1989-10-01,124800
1990-01-01,123900
1990-04-01,126800
1990-07-01,117000
1990-10-01,121500
1991-01-01,120000
1991-04-01,119900
1991-07-01,120000
1991-10-01,120000
1992-01-01,119500
1992-04-01,120000
1992-07-01,120000
1992-10-01,126000
1993-01-01,125000
1993-04-01,127000
1993-07-01,127000
1993-10-01,127000
1994-01-01,130000
1994-04-01,130000
1994-07-01,129700
1994-10-01,132000
1995-01-01,130000
1995-04-01,133900
1995-07-01,132000
1995-10-01,138000
1996-01-01,137000
1996-04-01,139900
1996-07-01,140000
1996-10-01,144100
1997-01-01,145000
1997-04-01,145800
1997-07-01,145000
1997-10-01,144200
1998-01-01,152200
1998-04-01,149500
1998-07-01,153000
1998-10-01,153000
1999-01-01,157400
1999-04-01,158700
1999-07-01,159100
1999-10-01,165300
2000-01-01,165300
2000-04-01,163200
2000-07-01,168800
2000-10-01,172900
2001-01-01,169800
2001-04-01,179000
2001-07-01,172500
2001-10-01,171100
2002-01-01,188700
2002-04-01,187200
2002-07-01,178100
2002-10-01,190100
2003-01-01,186000
2003-04-01,191800
2003-07-01,191900
2003-10-01,198800
2004-01-01,212700
2004-04-01,217600
2004-07-01,213500
2004-10-01,228800
2005-01-01,232500
2005-04-01,233700
2005-07-01,236400
2005-10-01,243600
2006-01-01,247700
2006-04-01,246300
2006-07-01,235600
2006-10-01,245400
2007-01-01,257400
2007-04-01,242200
2007-07-01,241800
2007-10-01,238400
2008-01-01,233900
2008-04-01,235300
2008-07-01,226500
2008-10-01,222500
2009-01-01,208400
2009-04-01,220900
2009-07-01,214300
2009-10-01,219000
2010-01-01,222900
2010-04-01,219500
2010-07-01,224100
2010-10-01,224300
2011-01-01,226900
2011-04-01,228100
2011-07-01,223500
2011-10-01,221100
2012-01-01,238400
2012-04-01,238700
2012-07-01,248800
2012-10-01,251700
2013-01-01,258400
2013-04-01,268100
2013-07-01,264800
2013-10-01,273600
2014-01-01,275200
2014-04-01,288000
2014-07-01,281000
2014-10-01,298900
2015-01-01,289200
2015-04-01,289100
2015-07-01,295800
2015-10-01,302500
2016-01-01,299800
2016-04-01,306000
2016-07-01,303800
2016-10-01,310900
2017-01-01,313100
2017-04-01,318200
2017-07-01,320500.0
2017-10-01,337900.0
2018-01-01,331800.0
2018-04-01,315600.0
2018-07-01,330900.0
2018-10-01,322800.0
2019-01-01,313000.0
2019-04-01,322500.0
2019-07-01,318400.0
2019-10-01,327100.0
2020-01-01,329000.0
2020-04-01,322600.0
2020-07-01,337500.0
2020-10-01,358700.0
2021-01-01,369800.0
2021-04-01,382600.0
2021-07-01,411200.0
2021-10-01,423600.0
2022-01-01,433100.0
2022-04-01,449300.0
2022-07-01,468000.0
2022-10-01,479500.0
2023-01-01,429000.0
2023-04-01,418500.0
2023-07-01,431000.0
